iter	Passed	Remaining
0	141	140893
1	144	72023
2	147	49105
3	151	37605
4	154	30750
5	157	26139
6	161	22866
7	164	20394
8	167	18485
9	171	16963
10	174	15701
11	177	14653
12	181	13787
13	185	13030
14	188	12373
15	191	11777
16	193	11202
17	196	10701
18	198	10235
19	199	9782
20	200	9341
21	201	8944
22	201	8574
23	202	8232
24	203	7918
25	203	7627
26	204	7360
27	204	7111
28	205	6881
29	206	6664
30	206	6460
31	207	6271
32	207	6093
33	208	5926
34	209	5767
35	209	5618
36	210	5476
37	211	5342
38	211	5214
39	212	5096
40	213	4985
41	213	4879
42	214	4776
43	215	4678
44	215	4583
45	216	4492
46	217	4405
47	217	4321
48	218	4241
49	219	4163
50	219	4089
51	220	4018
52	221	3950
53	221	3885
54	222	3821
55	223	3759
56	223	3699
57	224	3641
58	224	3586
59	225	3531
60	226	3479
61	226	3428
62	227	3379
63	227	3332
64	228	3285
65	229	3241
66	229	3197
67	229	3151
68	230	3110
69	231	3071
70	231	3032
71	232	2994
72	233	2959
73	233	2923
74	234	2888
75	234	2854
76	235	2822
77	236	2790
78	236	2758
79	237	2727
80	237	2697
81	238	2668
82	238	2640
83	239	2612
84	239	2583
85	240	2556
86	240	2528
87	241	2502
88	242	2478
89	242	2454
90	243	2431
91	244	2408
92	244	2385
93	245	2363
94	245	2341
95	246	2320
96	246	2299
97	247	2278
98	248	2258
99	248	2239
100	249	2220
101	249	2199
102	250	2181
103	251	2162
104	251	2145
105	252	2127
106	252	2110
107	253	2093
108	254	2076
109	254	2060
110	255	2044
111	255	2028
112	256	2012
113	257	1997
114	257	1982
115	258	1967
116	258	1952
117	259	1938
118	259	1923
119	260	1910
120	261	1896
121	261	1882
122	261	1867
123	262	1854
124	263	1842
125	263	1829
126	264	1817
127	264	1803
128	265	1791
129	265	1779
130	266	1768
131	267	1756
132	267	1745
133	268	1733
134	268	1722
135	269	1712
136	270	1701
137	270	1690
138	271	1680
139	271	1669
140	272	1659
141	273	1649
142	273	1639
143	274	1630
144	274	1620
145	275	1611
146	276	1601
147	276	1592
148	277	1583
149	277	1574
150	278	1565
151	279	1557
152	279	1548
153	280	1540
154	280	1531
155	281	1523
156	282	1514
157	282	1506
158	283	1497
159	283	1489
160	284	1482
161	284	1474
162	285	1466
163	286	1458
164	286	1450
165	287	1443
166	287	1436
167	288	1428
168	289	1421
169	289	1414
170	290	1407
171	290	1400
172	291	1393
173	292	1386
174	292	1380
175	293	1373
176	294	1367
177	294	1360
178	295	1353
179	295	1347
180	296	1339
181	296	1333
182	297	1326
183	297	1320
184	298	1314
185	299	1309
186	299	1303
187	300	1298
188	301	1292
189	301	1286
190	302	1280
191	302	1274
192	303	1269
193	304	1264
194	304	1258
195	305	1252
196	306	1247
197	306	1242
198	307	1236
199	307	1231
200	308	1226
201	309	1221
202	309	1216
203	310	1211
204	310	1205
205	311	1201
206	312	1196
207	313	1192
208	313	1187
209	314	1182
210	315	1178
211	315	1173
212	316	1168
213	316	1163
214	317	1159
215	318	1154
216	318	1150
217	319	1145
218	320	1141
219	320	1136
220	321	1132
221	321	1128
222	322	1124
223	323	1119
224	324	1116
225	324	1111
226	325	1107
227	325	1103
228	326	1099
229	327	1096
230	328	1092
231	328	1087
232	329	1083
233	329	1079
234	330	1075
235	331	1071
236	331	1067
237	332	1063
238	332	1059
239	333	1055
240	334	1051
241	334	1048
242	335	1044
243	336	1041
244	336	1037
245	337	1033
246	337	1030
247	338	1026
248	339	1022
249	339	1019
250	340	1015
251	340	1012
252	341	1009
253	342	1006
254	343	1002
255	343	999
256	344	995
257	345	992
258	345	988
259	346	985
260	346	982
261	347	978
262	348	975
263	348	972
264	349	968
265	349	965
266	350	962
267	351	959
268	351	956
269	352	953
270	353	949
271	353	946
272	354	943
273	354	940
274	355	937
275	356	934
276	356	931
277	357	928
278	358	925
279	358	922
280	359	919
281	360	916
282	360	913
283	361	910
284	361	908
285	362	905
286	363	902
287	363	899
288	364	896
289	365	893
290	365	890
291	366	888
292	366	885
293	367	882
294	368	879
295	368	876
296	369	874
297	369	871
298	370	868
299	371	866
300	372	864
301	372	861
302	394	908
303	395	905
304	396	903
305	396	900
306	397	897
307	398	894
308	398	892
309	399	889
310	400	887
311	401	884
312	402	882
313	402	879
314	403	878
315	404	875
316	405	873
317	406	870
318	406	868
319	407	866
320	408	863
321	408	861
322	409	858
323	410	856
324	411	853
325	411	851
326	412	848
327	413	846
328	413	843
329	414	841
330	415	838
331	415	836
332	416	833
333	416	831
334	417	828
335	418	826
336	418	824
337	419	822
338	420	819
339	421	817
340	421	814
341	422	812
342	422	810
343	423	807
344	424	805
345	424	802
346	425	800
347	426	798
348	426	795
349	427	793
350	427	790
351	428	788
352	428	786
353	429	783
354	430	781
355	430	779
356	431	776
357	431	774
358	432	772
359	433	770
360	434	768
361	434	765
362	435	763
363	436	761
364	436	759
365	437	757
366	438	755
367	438	753
368	439	751
369	440	749
370	440	747
371	441	744
372	441	742
373	442	740
374	442	738
375	443	736
376	444	734
377	444	731
378	445	729
379	445	727
380	446	725
381	447	723
382	447	721
383	448	719
384	449	717
385	449	715
386	450	713
387	450	711
388	451	709
389	452	707
390	452	705
391	453	703
392	454	701
393	454	699
394	455	697
395	455	695
396	456	693
397	457	691
398	457	689
399	458	687
400	458	685
401	459	683
402	460	681
403	460	679
404	461	677
405	461	675
406	462	673
407	463	672
408	463	670
409	464	668
410	465	666
411	465	664
412	466	662
413	467	661
414	467	659
415	468	657
416	469	655
417	469	653
418	470	652
419	470	650
420	471	648
421	471	646
422	472	644
423	473	642
424	473	640
425	474	639
